uid,namedLocation,domainID,siteID,plotID,subplotID,startDate,endDate,flightYear,totalSampledArea,qualifyingVegetationArea,qualifyingVegetationPercent,dataQF,publicationDate,release
4c7aed60-250e-4631-a942-18173dde6844,CLBJ_022.basePlot.ltr,D11,CLBJ,CLBJ_022,31_400,2018-04-24,2018-04-24,2018,400,196,49,,20240104T224934Z,RELEASE-2024
7bf75687-5ad9-41fc-b338-a4e2626349dc,CLBJ_004.basePlot.ltr,D11,CLBJ,CLBJ_004,31_400,2018-04-24,2018-04-24,2018,400,108,27,,20240104T224934Z,RELEASE-2024
9962adb7-f5e6-40e7-a90c-faea12adeb5b,CLBJ_008.basePlot.ltr,D11,CLBJ,CLBJ_008,31_400,2018-04-24,2018-04-24,2018,400,393,98.25,,20240104T224934Z,RELEASE-2024
63eff4ae-2f3b-4d44-9c2a-1bad941cebd0,CLBJ_029.basePlot.ltr,D11,CLBJ,CLBJ_029,31_400,2018-04-24,2018-04-24,2018,400,345,86.25,,20240104T224934Z,RELEASE-2024
daed3645-c0a3-42b0-a86a-9e397f8d38d5,CLBJ_003.basePlot.ltr,D11,CLBJ,CLBJ_003,31_400,2018-04-24,2018-04-24,2018,400,320,80,,20240104T224934Z,RELEASE-2024
ddc766c2-b41d-47bb-ae08-3a265db42c8f,CLBJ_016.basePlot.ltr,D11,CLBJ,CLBJ_016,31_400,2018-04-24,2018-04-24,2018,400,304,76,,20240104T224934Z,RELEASE-2024
afb6340e-b6ef-4afa-8f67-6bacd97e5b4f,CLBJ_013.basePlot.ltr,D11,CLBJ,CLBJ_013,31_400,2018-04-24,2018-04-24,2018,400,0,0,,20240104T224934Z,RELEASE-2024
efbda9e7-e39b-469a-912c-439bc463d5c8,CLBJ_023.basePlot.ltr,D11,CLBJ,CLBJ_023,31_400,2018-04-24,2018-04-24,2018,400,90,22.5,,20240104T224934Z,RELEASE-2024
bd889c01-992b-4f0e-9ff4-6a3375c68db0,CLBJ_015.basePlot.ltr,D11,CLBJ,CLBJ_015,31_400,2018-04-24,2018-04-24,2018,400,335,83.75,,20240104T224934Z,RELEASE-2024
7fa122e5-3b92-47b4-b234-2e240cc778e2,CLBJ_012.basePlot.ltr,D11,CLBJ,CLBJ_012,31_400,2018-04-24,2018-04-24,2018,400,400,100,,20240104T224934Z,RELEASE-2024
1c2dc270-1050-4492-acf7-aa422fa31dab,CLBJ_030.basePlot.ltr,D11,CLBJ,CLBJ_030,31_400,2018-04-24,2018-04-24,2018,400,26,6.5,,20240104T224934Z,RELEASE-2024
641c2f26-0e3f-4971-9f5f-dbb3ce836eb1,CLBJ_024.basePlot.ltr,D11,CLBJ,CLBJ_024,31_400,2018-04-24,2018-04-24,2018,400,29,7.25,,20240104T224934Z,RELEASE-2024
419f3c83-52d6-42ed-b840-5c6f4cf33825,CLBJ_021.basePlot.ltr,D11,CLBJ,CLBJ_021,31_400,2018-04-24,2018-04-24,2018,400,395,98.75,,20240104T224934Z,RELEASE-2024
df0535ec-3196-4ccf-ae24-7e47d2faca9e,CLBJ_005.basePlot.ltr,D11,CLBJ,CLBJ_005,31_400,2018-04-24,2018-04-24,2018,400,386,96.5,,20240104T224934Z,RELEASE-2024
81d79f48-4dbc-49af-8d87-80317f911b67,CLBJ_011.basePlot.ltr,D11,CLBJ,CLBJ_011,31_400,2018-04-24,2018-04-24,2018,400,344,86,,20240104T224934Z,RELEASE-2024
649af5aa-e5ac-44cd-91b2-3117ef3f0a12,CLBJ_007.basePlot.ltr,D11,CLBJ,CLBJ_007,31_400,2018-04-24,2018-04-24,2018,400,290,72.5,,20240104T224934Z,RELEASE-2024
88342050-e84d-427a-bab0-bf540c53b8ff,CLBJ_018.basePlot.ltr,D11,CLBJ,CLBJ_018,31_400,2018-04-24,2018-04-24,2018,400,166,41.5,,20240104T224934Z,RELEASE-2024
2aad9541-0f00-4e97-adc9-2678f72049b5,CLBJ_025.basePlot.ltr,D11,CLBJ,CLBJ_025,31_400,2018-04-24,2018-04-24,2018,400,36,9,,20240104T224934Z,RELEASE-2024
360151c8-a1be-4797-995d-e1a208ffe52a,CLBJ_028.basePlot.ltr,D11,CLBJ,CLBJ_028,31_400,2018-04-24,2018-04-24,2018,400,393,98.25,,20240104T224934Z,RELEASE-2024
9673002f-9d44-4cee-bd5e-a6a2bbb5888c,CLBJ_014.basePlot.ltr,D11,CLBJ,CLBJ_014,31_400,2018-04-24,2018-04-24,2018,400,307,76.75,,20240104T224934Z,RELEASE-2024
3c9ca2cc-1ce5-46bd-9481-80b1d9269c4e,CLBJ_001.basePlot.ltr,D11,CLBJ,CLBJ_001,31_400,2018-04-24,2018-04-24,2018,400,23,5.75,,20240104T224934Z,RELEASE-2024
61c6d096-656d-4ea6-87a6-b0f03c11d3b4,CLBJ_006.basePlot.ltr,D11,CLBJ,CLBJ_006,31_400,2018-04-24,2018-04-24,2018,400,68,17,,20240104T224934Z,RELEASE-2024
d1a0c409-3b61-45f8-b7a8-9cf6ce6b0e2f,CLBJ_019.basePlot.ltr,D11,CLBJ,CLBJ_019,31_400,2018-04-24,2018-04-24,2018,400,18,4.5,,20240104T224934Z,RELEASE-2024
5693ccec-703f-42a5-a951-4d42caa3807c,CLBJ_010.basePlot.ltr,D11,CLBJ,CLBJ_010,31_400,2018-04-24,2018-04-24,2018,400,89,22.25,,20240104T224934Z,RELEASE-2024
3c709c15-f933-4730-b1b6-516179a856d2,CLBJ_020.basePlot.ltr,D11,CLBJ,CLBJ_020,31_400,2019-04-19,2019-04-20,2019,400,0,0,,20240104T224934Z,RELEASE-2024
